Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]	2020 [YR2020]
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Mauritania	MRT	41.8875649662209	40.367653425841	36.1958838869826	38.8685569000327	37.9017288839036	44.3634547026997	46.4932179805674	43.8844616566403	44.0837388649133	45.3377559589939	46.0694908959523	44.0868160721464
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Mauritius	MUS	46.0522312373225	55.9860134665405	63.1945851618191	63.6178003901393	64.3732360894422	65.6727762445736	66.2975459449173	66.9982634296689	67.4132383787437	67.5135478830394	67.6602986716118	68.1865707266525
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Mexico	MEX	59.6939619136249	57.8023394580782	59.9124681240829	59.9972480582014	61.1063920156291	60.2053984962698	61.0447802221286	60.7620854448008	60.1465918626474	59.9146764854771	59.8761820132139	59.9650048798925
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Micronesia, Fed. Sts.	FSM	..	62.7625799603724	58.8853703289671	57.1940239945949	59.828746740375	63.9967839253901	61.8534746290482	60.9889028402613	60.7095324692609	66.7645272599391	66.7758661336086	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Moldova	MDA	..	45.3431424262767	53.572449601365	54.4511649695264	52.7992028234644	52.2828144282381	52.9818939275631	53.9684030110606	53.1992942342807	53.5526470868024	54.0759706926898	54.236193315493
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Monaco	MCO	..	..	87.1747976772896	87.0710098885856	86.017017828201	87.3715069625843	82.3977602948473	81.7500897788874	87.1948006323555	86.8710911209967	87.0317872006756	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Mongolia	MNG	43.3323886756379	39.1979237053442	45.7860011361674	46.8583779005002	44.7170657991051	45.8242152647271	47.4579412553452	46.115055019035	42.2528470350209	39.3042675655052	39.9827657745935	40.0427840469249
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Montenegro	MNE	..	58.1769336369838	60.6176340771402	61.524820075707	58.5665588693114	58.5542415358125	60.2777607516407	59.5984484392845	60.1290365800584	59.1700083055784	58.7244623612204	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Morocco	MAR	44.9609311674401	50.5533839444178	52.3700823215381	53.4709469843056	51.5870514509596	51.6184772460059	49.7417885520522	50.40311716305	49.9867832500035	50.1412315972658	50.9258406664524	51.2138675780545
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Mozambique	MOZ	..	45.9361658700135	47.4100849875653	48.0439403756702	48.6564936893393	47.9558389432297	47.4377895811675	45.3308194377938	40.9473291083869	40.001117026771	39.8978517529276	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Myanmar	MMR	..	..	36.2121686668943	37.0367795009136	38.1040550388986	37.6804826287425	39.3531095791758	39.6132155396386	40.2544446801298	40.6851783699355	41.9196870787644	41.4036755784691
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Namibia	NAM	53.7771376244243	56.90228670803	57.033403131906	56.1086957468909	57.7386638199796	57.702346339868	57.942932645975	57.7470985230071	58.6183290413718	57.8411725122007	58.4182084217571	57.9483815859724
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Nauru	NRU	..	..	..	..	57.9882291666667	70.8804385964912	93.9853307766059	..	..	..	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Nepal	NPL	30.3695753074959	34.7107154903449	47.7968377931223	47.987452587668	48.7552170077453	49.5640197511958	50.5398969857639	51.5980440878133	51.8497822876255	51.5904434650846	52.0227162614147	53.3108665700451
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Netherlands	NLD	62.0657641653096	65.7454419953673	68.4517320433791	68.7276213462876	69.0706368108433	69.910357972482	70.0646949020881	70.2177071083397	70.066626385566	70.0324424053634	69.9668534109009	69.849580362332
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	New Caledonia	NCL	..	..	..	..	..	..	..	..	..	..	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	New Zealand	NZL	60.3360174445335	61.8112634451222	64.3539490670109	65.1016833035234	64.431061071424	65.534264639222	65.9739954570377	65.7360125560935	65.2071660074709	65.5048073004457	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Nicaragua	NIC	..	49.7358775588938	48.4522066036143	48.0441137926168	48.3644532832468	48.5491386270562	48.5739430037359	49.4649727424059	50.277952780614	51.011832491052	50.6316658886056	49.3473265535889
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Niger	NER	40.7123245813125	40.3631282931906	36.6722707602193	34.9550459944691	35.9846069967701	37.0689591319954	38.5253151857235	38.1629724750608	37.837730680306	36.562060224544	36.0896927522845	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Nigeria	NGA	42.0474090498745	43.7984549227611	49.2430315165328	50.1858844830171	52.3666011221468	54.1531280148526	58.1222219184123	59.7850976776077	55.8046968892209	52.0170509344182	49.7302169023896	46.3861274680481
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	North Macedonia	MKD	39.5421052631579	52.7951384699533	55.0949403902746	56.3116157384889	54.8447770531849	53.8266326277266	53.7301817323071	53.5495422792727	54.5391890711302	54.3214500308508	55.2218154017497	56.9895317617939
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Northern Mariana Islands	MNP	..	..	..	..	..	..	..	..	..	..	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Norway	NOR	56.3585202571147	49.8828687114497	51.0706728977116	51.6152039116709	52.5649057183716	53.9473206627327	56.4490570743849	58.3959191103847	56.8354746126549	55.3040884661921	58.0492914646203	60.4055134834259
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Oman	OMN	..	39.9865527540848	34.4343286924566	35.2292001873449	37.8658343044221	41.0705008745854	50.2019964283791	54.0239264000111	51.9760746484213	46.4249261433529	48.1370300903671	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Pakistan	PAK	43.3622332328204	50.326802160441	50.9280581995181	51.5739405881326	52.0095126268531	51.7012468410797	52.1605178411229	52.7725776425917	53.1777078538688	52.780620529599	53.8550011837573	52.7903500021797
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Palau	PLW	..	73.4559373878569	76.9231902112171	77.0879924368331	79.049391001695	78.7799716803672	78.1362394400296	78.1151229524031	78.1812945375643	80.4909289366511	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Panama	PAN	69.2388506189105	69.0215330399626	72.6020722938806	71.340376010705	68.0679124296325	66.5670433922126	65.8277225013773	64.982895193558	64.5989643536374	64.8529223774533	65.0267488572032	71.0053817571843
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Papua New Guinea	PNG	..	..	47.0232947143647	49.6021773873939	50.4989633986372	44.4755050929294	43.2810108554466	43.430656678982	41.5021183585627	41.6473438003943	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Paraguay	PRY	42.0634003822923	44.9075131170105	44.86447511271	48.1424560989514	46.9815144205012	47.1154467111251	48.6423009672103	47.6296883780502	47.9606996049679	48.8792744653965	49.5552686969439	48.8344845243514
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Peru	PER	..	54.0274885925663	47.7582660570047	49.129259974298	50.5158622110693	52.3928980547013	54.0425799449386	54.3063730182748	53.9283331564894	53.5226940290958	54.372727797334	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Philippines	PHL	43.6240121718805	51.0836200202037	54.5655820660708	55.5046996251733	56.7511282641544	56.6808739042732	58.5215498609238	59.508957300169	59.6904952918166	59.7861194869653	60.8521683733823	61.4170642077377
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Poland	POL	..	56.8358934003845	55.20654514835	56.1615382625311	57.2462659194862	56.5717104048283	56.2230444303297	56.2837304472744	56.5988134694585	56.6777198799937	57.5627541265652	57.460675873909
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Portugal	PRT	..	60.052512005172	66.3460439466341	66.4363902533881	66.9012206060792	66.321756754671	65.5290250615427	65.4706663840203	65.3623519314207	65.155218831648	65.6368222964615	66.064281912216
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Puerto Rico	PRI	57.0015232362888	52.3292675416276	48.8662374429133	48.9896105737421	49.5143972669595	48.9901977435873	47.8759473956595	48.3474175433956	48.4406846394982	48.8160515234085	48.213308729195	48.8416039434429
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Qatar	QAT	..	..	28.5571253823478	28.482774218787	30.3224172435313	32.8508108640788	46.0682464855024	50.7781031885388	47.3003409782943	43.0924167613604	46.7310700935722	53.8304927416944
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Romania	ROU	24.175311807903	49.1808772014428	42.9626300278463	50.36572377349	50.4570153006184	51.7164973953414	53.5445133010989	55.4943249711092	57.3232270542911	57.848955873445	59.0458918400594	..
